Dia da Feira,Categoria,Qnt. Feirantes,Nome da Feira,Endereco,Bairro
DOM,TRADICIONAL,88,VILA FORMOSA,"AV TRUMAIN C/ HENRIQUE MORIZE","VL FORMOSA"
DOM,TRADICIONAL,81,VILA CARRAO,"RUA COMEN GIL PINHEIRO","VL CALIFORNIA"
DOM,TRADICIONAL,71,VILA RICA,"RUA PROF ALZIRA DE O GILIOLI","VL RICA"
DOM,TRADICIONAL,43,VILA SANTA IZABEL,"RUA LUIS PINTO","VL CARRAO"
TER,ÔRGANICA,21,FEIRA LIVRE DE ORGANICOS CERET,"RUA ELEONORA CINTRA","JD ANALIA FRANCO"
TER,TRADICIONAL,47,SANTA GERTRUDES,"RUA SANTA GERTRUDES","TATUAPE"
TER,TRADICIONAL,49,PARQUE MARIA LUIZA,"AV PROF CARLOS CALIOLLI","PQ MARIA LUIZA"
TER,TRADICIONAL,60,VILA NOVA YORK,"RUA MAL MARQUES PORTO","VL NOVA YORK"
TER,TRADICIONAL,1,TIUBA,"RUA TIUBA","VL MANCHESTER"
QUA,TRADICIONAL,112,VILA NOVA MANCHESTER,"RUA SAO VALENTIM","VL CARRAO"
QUA,TRADICIONAL,58,VILA FORMOSA,"RUA MARAGOJIPE","VL FORMOSA"
QUA,TRADICIONAL,24,ALFERES FRAZAO,"RUA DIAMANTE PRETO","ARICANDUVA"
QUA,TRADICIONAL,112,VILA ANTONIΕΤΑ,"RUA PETROBRAS","VL ANTONIΕΤΑ"
QUA,TRADICIONAL,66,JARDIM RECORD,"AV DOS PEQUIS","JD VL FORMOSA"
QUA,TRADICIONAL,0,PRACA ALBINO FCO DE FIGUEIREDO,"RUA BENEDITO GALVAO","VILA CARRAO"
QUI,TRADICIONAL,85,VILA CARRAO,"RUA DENTISTA BARRETO","VL CARRAO"
QUI,TRADICIONAL,76,VILA SANTA IZABEL,"RUA PIRAMBOIA","VL STA IZABEL"
QUI,TRADICIONAL,27,DEDO DE DEUS,"RUA ALFARO","VL RICA"
QUI,TRADICIONAL,66,CERET,"RUA VALTER GAZARRA","VILA GOMES CARDIM"
SEX,TRADICIONAL,49,SAPOPEMBA,"RUA GRECCO","ALTO DA MOOCA"
SEX,TRADICIONAL,73,JARDIM ARICANDUVA,"AV ODILON PIRES","JD ARICANDUVA"
SEX,TRADICIONAL,66,JARDIM IVA,"RUA ROMILDO FINOZZI","JD IVA"
SEX,TRADICIONAL,28,VILA MANCHESTER,"PC HAROLDO DALTRO","VL MANCHESTER"
SAB,TRADICIONAL,92,SANTO ESTEVAO,"RUA AREIAO","TATUAPE"
SAB,TRADICIONAL,82,VILA ARICANDUVA,"RUA FRANCISCA DE PAULA","VL CARRAO"
SÁB,TRADICIONAL,79,PRACA MANOEL ARIZA,"AV ΑΝΤΟΝΙΟ MANOGRASSO","VL FORMOSA"
SÁB,TRADICIONAL,52,JARDIM VILA FORMOSA,"AV DOM AZEREDO COUTINHO","JD VL FORMOSA"
SÁB,TRADICIONAL,38,VILA CRUZEIRO,"RUA MARIA FRANCISCA DO NASCIMENTO","VL CRUZEIRO"
SÁB,TRADICIONAL,31,COHAB BARREIRA GRANDE,"AV RUFINO FERNANDES INIVARRI","BARREIRA GRANDE"
SÁB,NOTURNA,15,AGUIAR DA BEIRA,"RUA ANTONIO CALDEIRA","VILA ANTONIETA"
DOM,TRADICIONAL,93,JARDIM ANGELA,"RUA MARCELINO COELHO","JD ANGELA"
DOM,TRADICIONAL,77,JARDIM SAO LUIZ,"RUA ARRAIAL DOS COUROS","JD SAO LUIZ"
DOM,TRADICIONAL,11,JARDIM CRIS,"RUA ALBINO CORREA DE CAMPOS","VL REMO"
DOM,TRADICIONAL,28,JARDIM RANIERI,"RUA MANOEL DA COSTA DANTAS","JD RANIERI"
DOM,TRADICIONAL,22,CORREGO DOS FREITAS,"RUA MARIA BENEDITA RODRIGUES","PQ STO ANTΟΝΙΟ"
DOM,TRADICIONAL,39,JARDIM DAS FLORES,"AV INACIO DIAS DA SILVA","PIRAPORINHA"
TER,TRADICIONAL,134,PIRAPORINHA,"RUA ESTEVAM FERNANDES","PIRAPORINHA"
TER,TRADICIONAL,19,JARDIM IBIRAPUERA,"RUA SALGUEIRO DO CAMPO","JD IBIRAPUERA"
TER,TRADICIONAL,38,ALTO DA RIVIEIRA,"RUA MONS JOAO PEDRO FUSENIG","JD STA GERTRUDES"
QUA,TRADICIONAL,58,JARDIM SAO LUIZ,"RUA ARRAIAL DOS COUROS","JD SAO LUIZ"
QUA,TRADICIONAL,31,PARQUE NOVO SANTO AMARO,"RUA ALBERTO BORGES SOVERAL","PQ NOVO STO AMARO"
QUI,TRADICIONAL,95,JARDIM VAZ DE LIMA,"RUA LUCA DE MARENZIO","JD VAZ DE LIMA"
QUI,TRADICIONAL,15,PARQUE FIGUEIRA GRANDE,"RUA BELCHIOR FELIX","PQ FIG GRANDE"
SEX,TRADICIONAL,107,VILA REMO,"RUA ITAPAROQUERA","VL REMO"
SEX,TRADICIONAL,63,ESTRADA DA MOENDA VELHA,"AV MOENDA VELHA GOMES PEDROSA","JD SAO BENTO NOVO"
SEX,TRADICIONAL,24,VILA SANTA LUCIA,"RUA CARMELO CALI","VL STA LUCIA"
SAB,TRADICIONAL,67,JARDIM VERGUEIRO,"RUA ANTONIO VAZ","JD VERGUEIRO"
SAB,TRADICIONAL,46,VILA DAS BELEZAS,"RUA BERNARDINO ESTAZIONE","VL DAS BELEZAS"
SAB,TRADICIONAL,22,JARDIM IMBE,"RUA ERASMUS GRASSER","JD IMBE"
SAB,TRADICIONAL,2,CDHU JARDIM SAO LUIZ-A,"RUA ANDRE LENS","JARDIM SAO LUIZ"
SAB,TRADICIONAL,6,SAO LUIS,"RUA JOSE RODRIGUES MACIEL","SAO LUIS"
DOM,TRADICIONAL,28,PARELHEIROS,"PC PEDRO ROCHA","PARELHEIROS"
DOM,TRADICIONAL,10,VILA VARGEM GRANDE II,"RUA BEIJA FLOR","VILA VARGEM GRANDE"
DOM,TRADICIONAL,9,JARDIM IPORA,"RUA FORTE DO GUARA","PARELHEIROS"
TER,TRADICIONAL,22,JARDIM DOS ALAMOS,"RUA HENRIQUE ROSCHEL CHRISTI","JD DOS ALAMOS"
QUA,TRADICIONAL,4,RECANTO CAMPO BELO,"RUA MARIA DA COSTA BEZERRA","PARELHEIROS"
QUI,TRADICIONAL,22,BARRO BRANCO,"RUA MARIO WILCHES","JD MARIA BORBA"
SAB,TRADICIONAL,15,VILA VARGEM GRANDE I,"RUA IPE ROXO","VILA VARGEM GRANDE"
SAB,TRADICIONAL,5,BALNEARIO SAO JOSE,"RUA UIRAPURU DO SERTAO","PARELHEIROS"
DOM,TRADICIONAL,8,VILA MORSE,"RUA ","VL SONIA"
DOM,TRADICIONAL,93,SAO DOMINGOS,"RUA JOSE JOAQUIM SEABRA","VL TIRADENTES"
DOM,TRADICIONAL,58,JARDIM ARPOADOR,"RUA ADERBAL STRESSER","JD ARPOADOR"
DOM,TRADICIONAL,0,REAL PARQUE,"RUA BARAO DE MONTE MOR","PAINEIRAS DO MORUM"
DOM,TRADICIONAL,17,CONJ RESIDENCIAL DO BUTANTA,"RUA LUIS ANTONIO MARTINS","BUTANTA"
DOM,TRADICIONAL,17,RAPOSO TAVARES,"RUA GABRIEL DE CARVALHO","JD BOA VISTA"
DOM,TRADICIONAL,20,VILA REGINA,"RUA EDWARD CARMILO","JD CELESTE"
DOM,TRADICIONAL,15,COHAB RAPOSO TAVARES,"RUA CACHOEIRA DO ARREPENDIMENTO","JD ARPOADOR"
TER,TRADICIONAL,46,CAXINGUI,"PC ROBERTO GOMES PEDROSA","ESTADIO DO MORUMB"
TER,TRADICIONAL,100,JARDIM BONFIGLIOLI,"AV OCTACILIO ΤΟΜΑΝΙΚ","RIO PEQUENO"
TER,TRADICIONAL,8,JARDIM PERI PERI,"RUA PLINIO SALGADO","BUTANTA"
TER,TRADICIONAL,28,JARDIM JOAO XXIII,"AV VATICANO","JD JOAO XXIII"
QUA,TRADICIONAL,29,BIBI,"PC ROBERTO GOMES PEDROSA","ITAIM BIBI"
QUA,TRADICIONAL,35,VILA INDIAΝΑ,"RUA IQUIRIRIM","VL INDIANA"
QUA,TRADICIONAL,34,VILA DALVA,"RUA JORGE WORD","VL DALVA"
